Region,País,Años,Sexo,15-19 Años,20-24 Años,N° de suicidios,G 15-19 Años,G 20-24 Años
Africa,Mauritius,2000,masculino,5.0,20.0,25.0,Generación X/Generación Y,Generación X
Africa,Mauritius,2001,femenino,7.0,6.0,13.0,Generación Y,Generación X
Africa,Mauritius,2001,masculino,1.0,7.0,8.0,Generación Y,Generación X
Africa,Mauritius,2002,femenino,2.0,9.0,11.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,2002,masculino,7.0,10.0,17.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,2003,femenino,5.0,3.0,8.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,2003,masculino,3.0,3.0,6.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,2004,femenino,2.0,3.0,5.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,2004,masculino,4.0,7.0,11.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,2005,femenino,2.0,3.0,5.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,2005,masculino,2.0,7.0,9.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,2006,femenino,4.0,5.0,9.0,Generación Y,Generación Y
Africa,Mauritius,2006,masculino,4.0,13.0,17.0,Generación Y,Generación Y
Africa,Mauritius,2007,femenino,5.0,6.0,11.0,Generación Y,Generación Y
Africa,Mauritius,2007,masculino,7.0,9.0,16.0,Generación Y,Generación Y
Africa,Mauritius,2008,femenino,2.0,0.0,2.0,Generación Y,Generación Y
Africa,Mauritius,2008,masculino,1.0,10.0,11.0,Generación Y,Generación Y
Africa,Mauritius,2009,femenino,3.0,4.0,7.0,Generación Y,Generación Y
Africa,Mauritius,2009,masculino,6.0,10.0,16.0,Generación Y,Generación Y
Africa,Mauritius,2010,femenino,1.0,1.0,2.0,Generación Y,Generación Y
Africa,Mauritius,2010,masculino,8.0,7.0,15.0,Generación Y,Generación Y
Africa,Mauritius,2011,femenino,3.0,7.0,10.0,Generación Y,Generación Y
Africa,Mauritius,2011,masculino,3.0,10.0,13.0,Generación Y,Generación Y
Africa,Mauritius,2012,femenino,4.0,6.0,10.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2012,masculino,5.0,4.0,9.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2013,femenino,6.0,2.0,8.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2013,masculino,7.0,10.0,17.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2014,femenino,1.0,2.0,3.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2014,masculino,8.0,16.0,24.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2015,femenino,3.0,4.0,7.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2015,masculino,6.0,8.0,14.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2016,femenino,0.0,4.0,4.0,Generación Z,Generación Y
Africa,Mauritius,2016,masculino,7.0,11.0,18.0,Generación Z,Generación Y
Africa,Mauritius,2017,femenino,5.0,6.0,11.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2017,masculino,6.0,14.0,20.0,Generación Z,Generación Y/Generación Z
