Region,País,Años,Sexo,5-9 Años,10-14 Años,N° de suicidios,G 5-9 Años,G 10-14 Años
Asia,Armenia,2001,masculino,0.0,3.0,3.0,Generación Y,Generación Y
Asia,Armenia,2002,masculino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Asia,Armenia,2003,masculino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Asia,Armenia,2006,masculino,0.0,1.0,1.0,Generación Z,Generación Y
Asia,Armenia,2007,masculino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2008,femenino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2008,masculino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2010,femenino,0.0,2.0,2.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2010,masculino,0.0,2.0,2.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2012,masculino,0.0,1.0,1.0,Generación Z,Generación Z
Asia,Armenia,2013,masculino,0.0,1.0,1.0,Generación Z,Generación Z
Asia,Armenia,2014,femenino,0.0,1.0,1.0,Generación Z,Generación Z
Asia,Armenia,2018,femenino,0.0,1.0,1.0,Generación Z/Generación Alfa,Generación Z
Asia,Azerbaijan,1981,femenino,0.0,2.0,2.0,Generación X,Generación X
Asia,Azerbaijan,1981,masculino,0.0,4.0,4.0,Generación X,Generación X
Asia,Azerbaijan,1982,femenino,0.0,3.0,3.0,Generación X,Generación X
Asia,Azerbaijan,1985,masculino,0.0,2.0,2.0,Generación X,Generación X
Asia,Azerbaijan,1986,femenino,1.0,1.0,2.0,Generación X,Generación X
Asia,Azerbaijan,1986,masculino,0.0,3.0,3.0,Generación X,Generación X
Asia,Azerbaijan,1987,masculino,0.0,7.0,7.0,Generación X/Generación Y,Generación X
Asia,Azerbaijan,1988,masculino,0.0,1.0,1.0,Generación X/Generación Y,Generación X
Asia,Azerbaijan,1990,masculino,1.0,0.0,1.0,Generación X/Generación Y,Generación X
Asia,Azerbaijan,1991,femenino,0.0,1.0,1.0,Generación Y,Generación X
Asia,Azerbaijan,1993,femenino,0.0,1.0,1.0,Generación Y,Generación X/Generación Y
Asia,Azerbaijan,1993,masculino,0.0,1.0,1.0,Generación Y,Generación X/Generación Y
Asia,Azerbaijan,1998,masculino,0.0,1.0,1.0,Generación Y,Generación Y
Asia,Azerbaijan,2000,femenino,0.0,1.0,1.0,Generación Y,Generación Y
Asia,Azerbaijan,2001,femenino,2.0,5.0,7.0,Generación Y,Generación Y
Asia,Azerbaijan,2001,masculino,12.0,12.0,24.0,Generación Y,Generación Y
Asia,Azerbaijan,2002,masculino,2.0,2.0,4.0,Generación Y/Generación Z,Generación Y
Asia,Azerbaijan,2003,femenino,1.0,0.0,1.0,Generación Y/Generación Z,Generación Y
Asia,Azerbaijan,2003,masculino,1.0,6.0,7.0,Generación Y/Generación Z,Generación Y
Asia,Azerbaijan,2004,femenino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Asia,Azerbaijan,2004,masculino,0.0,6.0,6.0,Generación Y/Generación Z,Generación Y
Asia,Azerbaijan,2007,masculino,1.0,3.0,4.0,Generación Z,Generación Y/Generación Z
Asia,Bahrain,2001,masculino,0.0,1.0,1.0,Generación Y,Generación Y
Asia,Bahrain,2009,masculino,2.0,0.0,2.0,Generación Z,Generación Y/Generación Z
Asia,Bahrain,2011,femenino,0.0,1.0,1.0,Generación Z,Generación Z
Asia,Brunei Darussalam,2008,femenino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Asia,Brunei Darussalam,2018,femenino,0.0,1.0,1.0,Generación Z/Generación Alfa,Generación Z
Asia,"China, Hong Kong SAR",1969,femenino,0.0,3.0,3.0,Boomers,Boomers
Asia,"China, Hong Kong SAR",1969,masculino,0.0,2.0,2.0,Boomers,Boomers
Asia,"China, Hong Kong SAR",1970,femenino,0.0,2.0,2.0,Boomers/Generación X,Boomers
Asia,"China, Hong Kong SAR",1970,masculino,0.0,3.0,3.0,Boomers/Generación X,Boomers
Asia,"China, Hong Kong SAR",1971,femenino,0.0,2.0,2.0,Boomers/Generación X,Boomers
Asia,"China, Hong Kong SAR",1971,masculino,0.0,2.0,2.0,Boomers/Generación X,Boomers
Asia,"China, Hong Kong SAR",1972,femenino,0.0,3.0,3.0,Boomers/Generación X,Boomers
Asia,"China, Hong Kong SAR",1973,femenino,0.0,1.0,1.0,Boomers/Generación X,Boomers
