Region,País,Años,Sexo,60-64 Años,65-69 Años,N° de suicidios,G 60-64 Años,G 65-69 Años
Africa,R?union,2006,femenino,1.0,0.0,1.0,Silenciosos/Boomers,Silenciosos
Africa,R?union,2006,masculino,8.0,1.0,9.0,Silenciosos/Boomers,Silenciosos
Africa,R?union,2007,femenino,4.0,1.0,5.0,Silenciosos/Boomers,Silenciosos
Africa,R?union,2007,masculino,2.0,2.0,4.0,Silenciosos/Boomers,Silenciosos
Africa,R?union,2008,femenino,0.0,2.0,2.0,Silenciosos/Boomers,Silenciosos
Africa,R?union,2008,masculino,4.0,4.0,8.0,Silenciosos/Boomers,Silenciosos
Africa,R?union,2009,femenino,1.0,0.0,1.0,Silenciosos/Boomers,Silenciosos
Africa,R?union,2009,masculino,6.0,1.0,7.0,Silenciosos/Boomers,Silenciosos
Africa,R?union,2010,femenino,1.0,1.0,2.0,Boomers,Silenciosos
Africa,R?union,2010,masculino,3.0,1.0,4.0,Boomers,Silenciosos
Africa,R?union,2011,femenino,1.0,1.0,2.0,Boomers,Silenciosos/Boomers
Africa,R?union,2011,masculino,2.0,3.0,5.0,Boomers,Silenciosos/Boomers
Africa,R?union,2012,femenino,0.0,2.0,2.0,Boomers,Silenciosos/Boomers
Africa,R?union,2012,masculino,5.0,2.0,7.0,Boomers,Silenciosos/Boomers
Africa,R?union,2013,femenino,2.0,0.0,2.0,Boomers,Silenciosos/Boomers
Africa,R?union,2013,masculino,6.0,2.0,8.0,Boomers,Silenciosos/Boomers
Africa,R?union,2014,femenino,1.0,0.0,1.0,Boomers,Silenciosos/Boomers
Africa,R?union,2014,masculino,3.0,4.0,7.0,Boomers,Silenciosos/Boomers
Africa,R?union,2015,femenino,2.0,0.0,2.0,Boomers,Boomers
Africa,R?union,2015,masculino,9.0,3.0,12.0,Boomers,Boomers
Africa,R?union,2016,femenino,2.0,4.0,6.0,Boomers,Boomers
Africa,R?union,2016,masculino,2.0,1.0,3.0,Boomers,Boomers
Africa,Seychelles,2001,masculino,0.0,1.0,1.0,Silenciosos,Silenciosos
Africa,Seychelles,2009,masculino,0.0,1.0,1.0,Silenciosos/Boomers,Silenciosos
Africa,Seychelles,2013,masculino,0.0,4.0,4.0,Boomers,Silenciosos/Boomers
Africa,South Africa,1996,femenino,1.0,0.0,1.0,Silenciosos,Grandiosos/Silenciosos
Africa,South Africa,1996,masculino,3.0,2.0,5.0,Silenciosos,Grandiosos/Silenciosos
Africa,South Africa,1997,femenino,1.0,0.0,1.0,Silenciosos,Silenciosos
Africa,South Africa,1997,masculino,5.0,2.0,7.0,Silenciosos,Silenciosos
Africa,South Africa,1998,femenino,2.0,3.0,5.0,Silenciosos,Silenciosos
Africa,South Africa,1998,masculino,4.0,1.0,5.0,Silenciosos,Silenciosos
Africa,South Africa,1999,femenino,1.0,1.0,2.0,Silenciosos,Silenciosos
Africa,South Africa,1999,masculino,2.0,5.0,7.0,Silenciosos,Silenciosos
Africa,South Africa,2000,femenino,1.0,2.0,3.0,Silenciosos,Silenciosos
Africa,South Africa,2000,masculino,7.0,3.0,10.0,Silenciosos,Silenciosos
Africa,South Africa,2001,femenino,1.0,0.0,1.0,Silenciosos,Silenciosos
Africa,South Africa,2001,masculino,1.0,2.0,3.0,Silenciosos,Silenciosos
Africa,South Africa,2002,femenino,2.0,0.0,2.0,Silenciosos,Silenciosos
Africa,South Africa,2002,masculino,2.0,6.0,8.0,Silenciosos,Silenciosos
Africa,South Africa,2003,femenino,3.0,2.0,5.0,Silenciosos,Silenciosos
Africa,South Africa,2003,masculino,6.0,1.0,7.0,Silenciosos,Silenciosos
Africa,South Africa,2004,femenino,2.0,0.0,2.0,Silenciosos,Silenciosos
Africa,South Africa,2004,masculino,12.0,6.0,18.0,Silenciosos,Silenciosos
Africa,South Africa,2005,femenino,8.0,1.0,9.0,Silenciosos,Silenciosos
Africa,South Africa,2005,masculino,7.0,7.0,14.0,Silenciosos,Silenciosos
Africa,South Africa,2006,femenino,3.0,3.0,6.0,Silenciosos/Boomers,Silenciosos
Africa,South Africa,2006,masculino,9.0,15.0,24.0,Silenciosos/Boomers,Silenciosos
Africa,South Africa,2007,femenino,5.0,1.0,6.0,Silenciosos/Boomers,Silenciosos
Africa,South Africa,2007,masculino,12.0,3.0,15.0,Silenciosos/Boomers,Silenciosos
Africa,South Africa,2008,femenino,2.0,3.0,5.0,Silenciosos/Boomers,Silenciosos
Africa,South Africa,2008,masculino,7.0,5.0,12.0,Silenciosos/Boomers,Silenciosos
Africa,South Africa,2009,femenino,1.0,5.0,6.0,Silenciosos/Boomers,Silenciosos
Africa,South Africa,2009,masculino,9.0,4.0,13.0,Silenciosos/Boomers,Silenciosos
Africa,South Africa,2010,femenino,0.0,1.0,1.0,Boomers,Silenciosos
Africa,South Africa,2010,masculino,5.0,11.0,16.0,Boomers,Silenciosos
Africa,South Africa,2011,femenino,2.0,2.0,4.0,Boomers,Silenciosos/Boomers
Africa,South Africa,2011,masculino,2.0,5.0,7.0,Boomers,Silenciosos/Boomers
Africa,South Africa,2012,femenino,4.0,2.0,6.0,Boomers,Silenciosos/Boomers
Africa,South Africa,2012,masculino,8.0,8.0,16.0,Boomers,Silenciosos/Boomers
Africa,South Africa,2013,femenino,4.0,4.0,8.0,Boomers,Silenciosos/Boomers
Africa,South Africa,2013,masculino,13.0,7.0,20.0,Boomers,Silenciosos/Boomers
Africa,South Africa,2014,femenino,2.0,0.0,2.0,Boomers,Silenciosos/Boomers
Africa,South Africa,2014,masculino,15.0,3.0,18.0,Boomers,Silenciosos/Boomers
Africa,South Africa,2015,femenino,2.0,1.0,3.0,Boomers,Boomers
Africa,South Africa,2015,masculino,13.0,11.0,24.0,Boomers,Boomers
Africa,South Africa,2016,femenino,2.0,0.0,2.0,Boomers,Boomers
Africa,South Africa,2016,masculino,8.0,10.0,18.0,Boomers,Boomers
Africa,South Africa,2017,femenino,2.0,1.0,3.0,Boomers,Boomers
Africa,South Africa,2017,masculino,10.0,9.0,19.0,Boomers,Boomers
Africa,South Africa,2018,femenino,1.0,1.0,2.0,Boomers,Boomers
Africa,South Africa,2018,masculino,6.0,4.0,10.0,Boomers,Boomers
Asia,Armenia,1981,femenino,3.0,1.0,4.0,Grandiosos,Grandiosos
Asia,Armenia,1981,masculino,1.0,3.0,4.0,Grandiosos,Grandiosos
Asia,Armenia,1985,femenino,3.0,1.0,4.0,Grandiosos,Grandiosos
Asia,Armenia,1985,masculino,1.0,0.0,1.0,Grandiosos,Grandiosos
Asia,Armenia,1986,masculino,3.0,3.0,6.0,Grandiosos,Grandiosos
Asia,Armenia,1987,femenino,2.0,1.0,3.0,Grandiosos,Grandiosos
Asia,Armenia,1987,masculino,2.0,2.0,4.0,Grandiosos,Grandiosos
Asia,Armenia,1988,femenino,3.0,1.0,4.0,Grandiosos/Silenciosos,Grandiosos
Asia,Armenia,1989,femenino,2.0,0.0,2.0,Grandiosos/Silenciosos,Grandiosos
Asia,Armenia,1989,masculino,2.0,1.0,3.0,Grandiosos/Silenciosos,Grandiosos
Asia,Armenia,1990,femenino,1.0,2.0,3.0,Grandiosos/Silenciosos,Grandiosos
